UniProtKB	Q5FA35	rho		GO:0071281	PMID:22287521	EXP		P	Transcription termination factor Rho	NGO_0199	protein	NCBITaxon:242231	20170328	CollecTF		
UniProtKB	Q5FA17	NGO_0217		GO:0071281	PMID:8759870	EXP		P	Iron ABC transporter substrate-binding protein		protein	NCBITaxon:242231	20170328	CollecTF		
UniProtKB	Q5FA01	NGO_0233		GO:0071281	PMID:22287521	EXP		P	Opacity domain-containing protein		protein	NCBITaxon:242231	20170328	CollecTF		
UniProtKB	Q5F5G9	sstT		GO:0071281	PMID:24811061	EXP		P	Serine/threonine transporter SstT	NGO1957	protein	NCBITaxon:242231	20170328	CollecTF		
UniProtKB	Q5F5D9	obg		GO:0003924	PMID:26122105	IDA		F	GTPase Obg	NGO1990	protein	NCBITaxon:242231	20150728	UniProt		
UniProtKB	Q5F5D9	obg		GO:0005525	PMID:26122105	IDA		F	GTPase Obg	NGO1990	protein	NCBITaxon:242231	20150728	UniProt		
UniProtKB	Q5F5D9	obg		GO:0005737	PMID:26122105	IDA		C	GTPase Obg	NGO1990	protein	NCBITaxon:242231	20150728	UniProt		
UniProtKB	Q5F5D9	obg		GO:0019003	PMID:26122105	IDA		F	GTPase Obg	NGO1990	protein	NCBITaxon:242231	20150728	UniProt		
UniProtKB	Q5F5D9	obg		GO:0043022	PMID:26122105	IDA		F	GTPase Obg	NGO1990	protein	NCBITaxon:242231	20150728	UniProt		
UniProtKB	Q5F9F9	panB		GO:0071281	PMID:24811061	EXP		P	3-methyl-2-oxobutanoate hydroxymethyltransferase	NGO0436	protein	NCBITaxon:242231	20170328	CollecTF		
UniProtKB	Q5F8W9	NGO_0641		GO:0071281	PMID:24811061	EXP		P	Site-specific DNA-methyltransferase (adenine-specific)		protein	NCBITaxon:242231	20170328	CollecTF		
UniProtKB	Q5F961	NGO_0542		GO:0000976	PMID:19854902	IEP		F	Ferric uptake regulation protein		protein	NCBITaxon:242231	20170328	CollecTF		
UniProtKB	Q5F961	NGO_0542		GO:0001216	PMID:19854902	IEP		F	Ferric uptake regulation protein		protein	NCBITaxon:242231	20170328	CollecTF		
UniProtKB	Q5F961	NGO_0542		GO:0001217	PMID:19854902	IEP		F	Ferric uptake regulation protein		protein	NCBITaxon:242231	20170328	CollecTF		
UniProtKB	Q5F961	NGO_0542		GO:0032993	PMID:19854902	IEP		C	Ferric uptake regulation protein		protein	NCBITaxon:242231	20170328	CollecTF		
UniProtKB	Q5F924	priB		GO:0001671	PMID:21861872	IDA		F	Primosomal replication protein N	NGO_0582	protein	NCBITaxon:242231	20160624	UniProt		
UniProtKB	Q5F924	priB		GO:0003690	PMID:21861872	IDA		F	Primosomal replication protein N	NGO_0582	protein	NCBITaxon:242231	20160624	UniProt		
UniProtKB	Q5F924	priB		GO:0003697	PMID:19906704	IDA		F	Primosomal replication protein N	NGO_0582	protein	NCBITaxon:242231	20160624	UniProt		
UniProtKB	Q5F924	priB		GO:0003697	PMID:21861872	IDA		F	Primosomal replication protein N	NGO_0582	protein	NCBITaxon:242231	20160624	UniProt		
UniProtKB	Q5F924	priB		GO:0005515	PMID:19906704	IPI	UniProtKB:Q5F6V8	F	Primosomal replication protein N	NGO_0582	protein	NCBITaxon:242231	20160624	UniProt		
UniProtKB	Q5F924	priB		GO:0005515	PMID:21861872	IPI	UniProtKB:Q5F6V8	F	Primosomal replication protein N	NGO_0582	protein	NCBITaxon:242231	20160624	UniProt		
