locustag_in_Query	startQuery	endeQuery	LfracQuery	otherHits	otherHitsNum	type_in_Query	GN_in_Query	product_in_Query	maxHitLfracQuery
NGFG_02260	1	450	1		3	gene	NGFG_02260	transposase	1
NGFG_02264	1	297	1		3	gene	NGFG_02264	hypothetical protein	1
NGFG_02265	1	456	1		5	gene	NGFG_02265	hypothetical protein	1
NGFG_02267	1	450	1		3	gene	NGFG_02267	transposase	1
NGFG_02268	1	144	1		2	gene	NGFG_02268	hypothetical protein	0.514
NGFG_02269	1	654	1		2	gene	NGFG_02269	transposase	1
NGFG_02276	1	681	1		4	gene	NGFG_02276	hypothetical protein	1
NGFG_02277	1	297	1		6	gene	NGFG_02277	hypothetical protein	1
NGFG_02285	1	216	1		1	gene	NGFG_02285	phage protein	1
NGFG_02286	1	492	1		1	gene	NGFG_02286	phage protein	1
NGFG_02287	1	183	1		2	gene	NGFG_02287	phage protein	1
NGFG_02288	1	687	1		2	gene	NGFG_02288	phage protein	1
NGFG_02289	1	162	1		1	gene	NGFG_02289	phage protein	1
NGFG_00622	1	276	1		1	gene	NGFG_00622	phage protein	1
NGFG_00623	1	333	1		1	gene	NGFG_00623	phage protein	1
NGFG_02292	1	228	1		2	gene	NGFG_02292	phage protein	1
NGFG_02294	1	1065	1		1	gene	NGFG_02294	phage protein	1
NGFG_02296	1	456	1		2	gene	NGFG_02296	phage protein	0.95
NGFG_02297	1	150	1		2	gene	NGFG_02297	hypothetical protein	1
NGFG_02298	1	282	1		2	gene	NGFG_02298	hypothetical protein	1
NGFG_02299	1	381	1		1	gene	NGFG_02299	phage protein	1
NGFG_02303	1	654	1		3	gene	NGFG_02303	transposase	1
NGFG_02305	1	450	1		5	gene	NGFG_02305	transposase	1
NGFG_02309	1	654	1		2	gene	NGFG_02309	transposase	1
NGFG_02313	1	654	1		5	gene	NGFG_02313	transposase	1
NGFG_02314	1	456	1		5	gene	NGFG_02314	hypothetical protein	1
NGFG_02315	1	297	1		4	gene	NGFG_02315	hypothetical protein	1
NGFG_01015	1	786	1		6	gene	NGFG_01015	hypothetical protein	0.426
