locustag_in_Ngo	GN_in_Ngo	type_in_Ngo	product_in_Ngo	locustag_in_Nmen	GN_in_Nmen	locustag_in_FA1090	GN_in_FA1090
NGFG_00137	dnaA	gene	chromosomal replication initiator protein dnaA	NMB1903	dnaA	NGO_0001	dnaA
NGFG_00138		gene	DNA polymerase III%2C beta subunit	NMB1902		NGO_0002	
NGFG_00139		gene	polyphosphate kinase	NMB1900	ppk1	NGO_0003	ppk1
NGFG_00140		gene	hypothetical protein	NMB1899		NGO_0004	
NGFG_00143		gene	leucyl-tRNA synthetase	NMB1897		NGO_0006	
NGFG_00147		gene	hypothetical protein			NGO_0009	
NGFG_00149		gene	transcriptional regulator	NMB1891		NGO_0011	
NGFG_00152		gene	preprotein translocase%2C SecG subunit	NMB1888	secG	NGO_0016	secG
NGFG_00153		gene	triosephosphate isomerase	NMB1887		NGO_0017	
NGFG_00154		gene	GAF protein	NMB1886		NGO_0018	
NGFG_00155		gene	protein-L-isoaspartate O-methyltransferase	NMB1885		NGO_0019	
NGFG_00156		gene	thiosulfate sulfurtransferase	NMB1884		NGO_0020	
NGFG_00157		gene	TonB-dependent siderophore receptor	NMB1882		NGO_0021	
NGFG_00158		gene	hypothetical protein	NMB1881		NGO_0022	
NGFG_00159		gene	iron chelate ABC transporter%2C periplasmic iron chelate-binding protein	NMB1880		NGO_0023	
NGFG_00160		gene	AraC family transcriptional regulator	NMB1878		NGO_0025	
NGFG_00161		gene	prolyl oligopeptidase	NMB1877		NGO_0026	
NGFG_00162		gene	amino-acid acetyltransferase	NMB1876	argA	NGO_0027	argA
NGFG_00163		gene	hypothetical protein	NMB1875		NGO_0028	
NGFG_00164		gene	orotate phosphoribosyltransferase	NMB1874	pyrE	NGO_0029	pyrE
NGFG_00165		gene	uracil-DNA glycosylase%2C family 4	NMB1873		NGO_0030	
NGFG_00166		gene	ribosomal-protein-alanine acetyltransferase	NMB1872	rimI	NGO_0031	rimI
NGFG_00167		gene	glycoprotease	NMB1871	tsaB	NGO_0032	tsaB
NGFG_00169		gene	fructose-bisphosphate aldolase	NMB1869		NGO_0034	
NGFG_00170	xerC	gene	tyrosine recombinase xerC	NMB1868	xerC	NGO_0035	xerC
NGFG_00171		gene	1-deoxy-D-xylulose-5-phosphate synthase	NMB1867	dxs	NGO_0036	dxs
