seqName	start	ende	direction	type1	type2	Name	locus_tag	product
CP003909.1	101	1657	+	CDS	gene	NGFG_00137	NGFG_00137	chromosomal replication initiator protein dnaA
CP003909.1	1737	2840	+	CDS	gene	NGFG_00138	NGFG_00138	DNA polymerase III%2C beta subunit
CP003909.1	2989	5046	-	CDS	gene	NGFG_00139	NGFG_00139	polyphosphate kinase
CP003909.1	5215	5658	-	CDS	gene	NGFG_00140	NGFG_00140	hypothetical protein
CP003909.1	6442	9078	+	CDS	gene	NGFG_00143	NGFG_00143	leucyl-tRNA synthetase
CP003909.1	11033	11488	+	CDS	gene	NGFG_00147	NGFG_00147	hypothetical protein
CP003909.1	12362	12673	-	CDS	gene	NGFG_00149	NGFG_00149	transcriptional regulator
CP003909.1	14026	14376	-	CDS	gene	NGFG_00152	NGFG_00152	preprotein translocase%2C SecG subunit
CP003909.1	14383	15156	-	CDS	gene	NGFG_00153	NGFG_00153	triosephosphate isomerase
CP003909.1	15339	15842	+	CDS	gene	NGFG_00154	NGFG_00154	GAF protein
CP003909.1	15945	16601	+	CDS	gene	NGFG_00155	NGFG_00155	protein-L-isoaspartate O-methyltransferase
CP003909.1	16724	17005	+	CDS	gene	NGFG_00156	NGFG_00156	thiosulfate sulfurtransferase
CP003909.1	17268	19445	-	CDS	gene	NGFG_00157	NGFG_00157	TonB-dependent siderophore receptor
CP003909.1	19708	20031	-	CDS	gene	NGFG_00158	NGFG_00158	hypothetical protein
CP003909.1	20064	21035	-	CDS	gene	NGFG_00159	NGFG_00159	iron chelate ABC transporter%2C periplasmic iron chelate-binding protein
CP003909.1	21271	22227	+	CDS	gene	NGFG_00160	NGFG_00160	AraC family transcriptional regulator
CP003909.1	22340	24355	-	CDS	gene	NGFG_00161	NGFG_00161	prolyl oligopeptidase
CP003909.1	24451	25761	-	CDS	gene	NGFG_00162	NGFG_00162	amino-acid acetyltransferase
CP003909.1	25758	26186	-	CDS	gene	NGFG_00163	NGFG_00163	hypothetical protein
CP003909.1	26260	26901	-	CDS	gene	NGFG_00164	NGFG_00164	orotate phosphoribosyltransferase
CP003909.1	26963	27700	-	CDS	gene	NGFG_00165	NGFG_00165	uracil-DNA glycosylase%2C family 4
CP003909.1	27694	28134	-	CDS	gene	NGFG_00166	NGFG_00166	ribosomal-protein-alanine acetyltransferase
