seqName	start	ende	direction	type1	type2	Name	product	locus_tag
NC_003112.2	7	498	-	CDS	gene	NMB_RS00005	GNAT family N-acetyltransferase	NMB0001
NC_003112.2	502	897	-	CDS	gene	NMB_RS00010	hypothetical protein	NMB0002
NC_003112.2	918	2312	-	CDS	gene	NMB_RS00015	glutamate--tRNA ligase	NMB0003
NC_003112.2	2517	3161	-	CDS	gene	NMB_RS00020	YdcF family protein	NMB0004
NC_003112.2	3158	3511	-	CDS	gene	arsC	arsenate reductase (glutaredoxin)	NMB0005
NC_003112.2	3635	4117	+	CDS	gene	NMB_RS00030	TlpA family protein disulfide reductase	NMB0006
NC_003112.2	4311	4961	+	CDS	gene	ftsE	cell division ATP-binding protein FtsE	NMB0007
NC_003112.2	4958	5875	+	CDS	gene	ftsX	cell division protein FtsX	NMB0008
NC_003112.2	5966	6214	+	CDS	gene	NMB_RS00045	BolA family transcriptional regulator	NMB0009
NC_003112.2	6281	7492	-	CDS	gene	NMB_RS00050	phosphoglycerate kinase	NMB0010
NC_003112.2	7573	8826	-	CDS	gene	murA	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	NMB0011
NC_003112.2	9197	9272	-	exon	tRNA	NMB_RS00065	tRNA-Lys	NMBt01
NC_003112.2	9346	10317	-	CDS	gene	NMB_RS00070	TerC family protein	NMB0012
NC_003112.2	10350	10799	-	CDS	gene	NMB_RS00075	CopD family copper resistance protein	NMB0013
NC_003112.2	10840	12111	-	CDS	gene	NMB_RS00080	lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase	NMB0014
NC_003112.2	12174	13622	-	CDS	gene	gnd	decarboxylating NADP(+)-dependent phosphogluconate dehydrogenase	NMB0015
NC_003112.2	14410	14628	+	CDS	gene	NMB_RS00090	hypothetical protein	
NC_003112.2	15221	16144	-	CDS	gene	NMB_RS00095	UDP-3-O-acyl-N-acetylglucosamine deacetylase	NMB0017
NC_003112.2	16136	16579	+	CDS	gene	NMB_RS00100	hypothetical protein	
NC_003112.2	17229	17741	-	CDS	gene	pilE	fimbrial major subunit PilE	NMB0018
NC_003112.2	18517	18978	-	CDS	gene	NMB_RS00110	pilin	NMB0019
NC_003112.2	19267	19668	-	CDS	gene	NMB_RS00115	pilin	NMB0020
NC_003112.2	19918	20304	-	CDS	pseudogene	NMB_RS00120	pilin	NMB0021
NC_003112.2	20832	21170	-	CDS	gene	NMB_RS00125	pilin	NMB0022
NC_003112.2	21470	21889	-	CDS	pseudogene	NMB_RS00130	pilin	NMB0023
NC_003112.2	21891	22487	-	CDS	gene	NMB_RS11275	pilin	NMB0024
NC_003112.2	22825	23502	-	CDS	gene	NMB_RS00140	pilin	NMB0025
NC_003112.2	23548	23875	-	CDS	NA		pilin	
NC_003112.2	23904	24233	-	CDS	gene	NMB_RS00150	FKBP-type peptidyl-prolyl cis-trans isomerase	NMB0027
NC_003112.2	24311	24529	-	CDS	gene	NMB_RS00155	DUF2061 domain-containing protein	NMB0028
NC_003112.2	24651	25604	+	CDS	gene	NMB_RS00160	D-2-hydroxyacid dehydrogenase	NMB0029
NC_003112.2	25679	27736	-	CDS	gene	metG	methionine--tRNA ligase	NMB0030
