seqName	start	ende	direction	type1	type2	Name	product	locus_tag
NC_002946.2	159	1715	+	CDS	gene	dnaA	chromosomal replication initiator protein DnaA	NGO_0001
NC_002946.2	1795	2898	+	CDS	gene	NGO_RS00010	DNA polymerase III subunit beta	NGO_0002
NC_002946.2	3047	5104	-	CDS	gene	ppk1	polyphosphate kinase 1	NGO_0003
NC_002946.2	5273	5716	-	CDS	gene	NGO_RS00020	hypothetical protein	NGO_0004
NC_002946.2	5723	6239	-	CDS	pseudogene	NGO_RS00025	outer membrane protein assembly factor BamE	NGO_00025
NC_002946.2	6506	9136	+	CDS	gene	NGO_RS00030	leucine--tRNA ligase	NGO_0006
NC_002946.2	9365	10294	+	CDS	gene	NGO_RS00035	restriction endonuclease	NGO_0007
NC_002946.2	10287	11094	+	CDS	pseudogene	NGO_RS00040	site-specific DNA-methyltransferase	NGO_0008
NC_002946.2	11091	11646	+	CDS	pseudogene	NGO_RS00045	hypothetical protein	NGO_0009
NC_002946.2	11790	12035	+	CDS	pseudogene	NGO_RS11040	hypothetical protein	
NC_002946.2	12107	12307	-	CDS	gene	NGO_RS00050	hypothetical protein	NGO_0011a
NC_002946.2	12417	12728	-	CDS	gene	NGO_RS00055	DNA-binding transcriptional regulator	NGO_0011
NC_002946.2	12725	13092	-	CDS	pseudogene	NGO_RS00060	type II toxin-antitoxin system RelE/ParE family toxin	NGO_00011b
NC_002946.2	13982	14067	-	exon	tRNA	NGO_RS00065	tRNA-Leu	NGO_18786
NC_002946.2	14081	14431	-	CDS	gene	secG	preprotein translocase subunit SecG	NGO_0016
NC_002946.2	14438	15211	-	CDS	gene	NGO_RS00075	triose-phosphate isomerase	NGO_0017
NC_002946.2	15370	15897	+	CDS	gene	NGO_RS00080	GAF domain-containing protein	NGO_0018
NC_002946.2	16000	16656	+	CDS	gene	NGO_RS00085	protein-L-isoaspartate O-methyltransferase	NGO_0019
NC_002946.2	16737	17060	+	CDS	gene	NGO_RS00090	sulfurtransferase	NGO_0020
NC_002946.2	17323	19500	-	CDS	gene	NGO_RS00095	TonB-dependent siderophore receptor	NGO_0021
NC_002946.2	19763	20086	-	CDS	gene	NGO_RS00100	cupin domain-containing protein	NGO_0022
NC_002946.2	20119	21090	-	CDS	gene	NGO_RS00105	siderophore ABC transporter substrate-binding protein	NGO_0023
NC_002946.2	21326	22282	+	CDS	gene	NGO_RS00110	AraC family transcriptional regulator	NGO_0025
NC_002946.2	22395	24410	-	CDS	gene	NGO_RS00115	S9 family peptidase	NGO_0026
NC_002946.2	24506	25816	-	CDS	gene	argA	amino-acid N-acetyltransferase	NGO_0027
NC_002946.2	25813	26241	-	CDS	gene	NGO_RS00125	hypothetical protein	NGO_0028
NC_002946.2	26309	26950	-	CDS	gene	pyrE	orotate phosphoribosyltransferase	NGO_0029
NC_002946.2	27012	27749	-	CDS	gene	NGO_RS00135	uracil-DNA glycosylase family protein	NGO_0030
NC_002946.2	27743	28183	-	CDS	gene	rimI	ribosomal protein S18-alanine N-acetyltransferase	NGO_0031
NC_002946.2	28180	28857	-	CDS	gene	tsaB	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB	NGO_0032
NC_002946.2	28996	29853	-	CDS	gene	NGO_RS00150	lipoprotein	NGO_0033
NC_002946.2	29992	31056	-	CDS	gene	NGO_RS00155	fructose-bisphosphate aldolase class II	NGO_0034
NC_002946.2	31250	32167	+	CDS	gene	xerC	tyrosine recombinase XerC	NGO_0035
NC_002946.2	32252	34165	+	CDS	gene	dxs	1-deoxy-D-xylulose-5-phosphate synthase	NGO_0036
NC_002946.2	34230	34394	-	CDS	gene	NGO_RS00170	hypothetical protein	NGO_00175
NC_002946.2	34412	35740	-	CDS	gene	miaB	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB	NGO_0037
NC_002946.2	35943	36023	+	CDS	pseudogene	NGO_RS00180	glucosamine-fructose-6-phosphate aminotransferase	
NC_002946.2	36287	36460	+	CDS	gene	NGO_RS00185	glucosamine-fructose-6-phosphate aminotransferase	
NC_002946.2	36524	37804	+	CDS	gene	hemL	glutamate-1-semialdehyde 2%2C1-aminomutase	NGO_0040
NC_002946.2	38028	38516	-	CDS	gene	NGO_RS00195	transposase	NGO_0040a
NC_002946.2	38525	38788	-	CDS	gene	NGO_RS00200	transposase	NGO_00200
NC_002946.2	39110	39673	-	CDS	gene	orn	oligoribonuclease	NGO_0042
NC_002946.2	39691	40578	-	CDS	gene	prmA	50S ribosomal protein L11 methyltransferase	NGO_0043
NC_002946.2	40682	42043	-	CDS	gene	accC	acetyl-CoA carboxylase biotin carboxylase subunit	NGO_0044
NC_002946.2	42157	42618	-	CDS	gene	NGO_RS00220	acetyl-CoA carboxylase biotin carboxyl carrier protein	NGO_0045
NC_002946.2	42600	42857	-	CDS	gene	NGO_RS00225	hypothetical protein	NGO_0046
NC_002946.2	42974	44014	+	CDS	gene	queA	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	NGO_0047
NC_002946.2	44215	47430	-	CDS	gene	carB	carbamoyl-phosphate synthase large subunit	NGO_0048
NC_002946.2	47441	47974	-	CDS	gene	NGO_RS00240	hypothetical protein	NGO_0049
NC_002946.2	49539	49928	-	CDS	gene	NGO_RS00245	DUF559 domain-containing protein	NGO_0050
NC_002946.2	50091	50470	-	CDS	pseudogene	NGO_RS00250	VOC family protein	NGO_0050a
NC_002946.2	50524	51657	-	CDS	gene	carA	glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit	NGO_0053
NC_002946.2	52527	55670	-	CDS	gene	NGO_RS00260	pilus assembly/adherence protein PilC	NGO_0055
NC_002946.2	57122	58201	-	CDS	gene	apbC	iron-sulfur cluster carrier protein ApbC	NGO_0056
NC_002946.2	58420	58495	+	exon	tRNA	NGO_RS00270	tRNA-Lys	NGO_18791
NC_002946.2	58575	59084	+	CDS	gene	NGO_RS00275	protein disulfide oxidoreductase	NGO_0057
NC_002946.2	59425	59865	+	CDS	gene	nadR	MarR family adhesin repressor NadR	NGO_0058
NC_002946.2	59981	60481	+	CDS	gene	hpaC	4-hydroxyphenylacetate 3-monooxygenase%2C reductase component	NGO_0059
NC_002946.2	60497	61192	+	CDS	gene	NGO_RS00290	nucleotidyltransferase family protein	NGO_0060
NC_002946.2	61246	61638	-	CDS	gene	NGO_RS00295	EamA family transporter	NGO_0060a
NC_002946.2	61831	63507	+	CDS	gene	NGO_RS00300	formate--tetrahydrofolate ligase	NGO_0062
NC_002946.2	63621	64712	+	CDS	gene	ychF	redox-regulated ATPase YchF	NGO_0063
NC_002946.2	64750	64989	+	CDS	gene	NGO_RS00310	hypothetical protein	NGO_0064
NC_002946.2	64986	66860	+	CDS	gene	NGO_RS00315	acyltransferase	NGO_0065
NC_002946.2	66922	68217	+	CDS	gene	tyrS	tyrosine--tRNA ligase	NGO_0066
NC_002946.2	69021	69844	-	CDS	pseudogene	NGO_RS00325	outer membrane beta-barrel protein	NGO_0066a
NC_002946.2	70253	71173	+	CDS	gene	ribF	bifunctional riboflavin kinase/FAD synthetase	NGO_0068
NC_002946.2	71315	74104	+	CDS	gene	ileS	isoleucine--tRNA ligase	NGO_0069
NC_002946.2	74320	74511	-	CDS	gene	NGO_RS00340	hypothetical protein	
NC_002946.2	74599	74769	-	CDS	gene	NGO_RS00345	hypothetical protein	
NC_002946.2	74783	75580	-	CDS	gene	NGO_RS00350	outer membrane beta-barrel protein	NGO_0070
NC_002946.2	76565	77059	+	CDS	gene	lspA	lipoprotein signal peptidase	NGO_0071
NC_002946.2	77089	78057	+	CDS	gene	ispH	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	NGO_0072
NC_002946.2	78158	78607	+	CDS	gene	NGO_RS00365	transposase	NGO_0072a
NC_002946.2	78813	79472	-	CDS	gene	NGO_RS00370	HAD-IA family hydrolase	NGO_0073
NC_002946.2	79620	79847	+	CDS	gene	NGO_RS00375	hypothetical protein	NGO_00395
NC_002946.2	79793	80336	+	CDS	pseudogene	NGO_RS00380	TonB-dependent receptor	NGO_00400
NC_002946.2	80406	80726	+	CDS	gene	NGO_RS00385	hypothetical protein	NGO_0076
NC_002946.2	80714	81337	+	CDS	gene	NGO_RS00390	alpha/beta hydrolase	NGO_0076
NC_002946.2	81989	85423	-	CDS	gene	dnaE	DNA polymerase III subunit alpha	NGO_0078
NC_002946.2	85747	85944	+	CDS	gene	NGO_RS00400	hypothetical protein	
NC_002946.2	85953	86189	+	CDS	gene	NGO_RS00405	RNA-binding S4 domain-containing protein	NGO_0079
NC_002946.2	86167	86370	+	CDS	gene	NGO_RS00410	hypothetical protein	NGO_0080
NC_002946.2	86665	87501	+	CDS	gene	NGO_RS00415	PHP domain-containing protein	NGO_0081
NC_002946.2	87553	88845	-	CDS	gene	NGO_RS00420	valine--pyruvate transaminase	NGO_0082
NC_002946.2	88901	90811	-	CDS	gene	NGO_RS00425	polysaccharide biosynthesis protein	NGO_0083
NC_002946.2	90859	92064	-	CDS	gene	NGO_RS00430	DegT/DnrJ/EryC1/StrS aminotransferase family protein	NGO_0084
NC_002946.2	92165	93406	-	CDS	gene	NGO_RS00435	NeuD/PglB/VioB family sugar acetyltransferase	NGO_0085
NC_002946.2	93399	94565	-	CDS	gene	NGO_RS00440	glycosyltransferase	NGO_0086
NC_002946.2	94579	95643	-	CDS	gene	NGO_RS00445	glycosyltransferase family 4 protein	NGO_0087
NC_002946.2	95640	97061	-	CDS	gene	NGO_RS00450	lipopolysaccharide biosynthesis protein	NGO_0088
NC_002946.2	97256	98365	-	CDS	gene	ribD	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD	NGO_0089
NC_002946.2	98397	98849	-	CDS	gene	nrdR	transcriptional repressor NrdR	NGO_0090
NC_002946.2	98878	99720	-	CDS	gene	NGO_RS00465	class II glutamine amidotransferase	NGO_0091
NC_002946.2	100459	101538	-	CDS	gene	aroB	3-dehydroquinate synthase	NGO_0092
NC_002946.2	101618	102130	-	CDS	gene	NGO_RS00475	shikimate kinase	NGO_0093
NC_002946.2	103398	105569	-	CDS	gene	NGO_RS00480	type IV pilus secretin PilQ	NGO_0094
NC_002946.2	105588	106133	-	CDS	gene	NGO_RS00485	pilus assembly protein PilP	NGO_0095
NC_002946.2	106151	106798	-	CDS	gene	pilO	type 4a pilus biogenesis protein PilO	NGO_0096
NC_002946.2	106799	107398	-	CDS	gene	NGO_RS00495	PilN domain-containing protein	NGO_0097
NC_002946.2	107401	108516	-	CDS	gene	NGO_RS00500	pilus assembly protein PilM	NGO_0098
NC_002946.2	108668	111064	+	CDS	gene	NGO_RS00505	penicillin-binding protein 1A	NGO_0099
NC_002946.2	111184	111813	-	CDS	gene	NGO_RS00510	YihA family ribosome biogenesis GTP-binding protein	NGO_0100
NC_002946.2	112020	112643	+	CDS	gene	NGO_RS00515	cytochrome c4	NGO_0101
NC_002946.2	112921	114873	+	CDS	gene	NGO_RS00520	cytochrome c biogenesis protein	NGO_0102
NC_002946.2	114866	116053	+	CDS	gene	ccsB	c-type cytochrome biogenesis protein CcsB	NGO_0103
NC_002946.2	116169	117233	+	CDS	gene	tsaD	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD	NGO_0104
NC_002946.2	117278	118126	-	CDS	gene	NGO_RS00535	lysophospholipid acyltransferase family protein	NGO_0105
NC_002946.2	118224	118334	+	NA	riboswitch			
NC_002946.2	118517	119686	+	CDS	gene	NGO_RS00540	methionine adenosyltransferase	NGO_0106
NC_002946.2	119751	121160	-	CDS	gene	dacB	D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase	NGO_0107
NC_002946.2	121325	121890	+	CDS	pseudogene	NGO_RS00550	NAD(P)H-dependent oxidoreductase	NGO_0108
NC_002946.2	122259	123572	+	CDS	gene	NGO_RS00555	CitMHS family transporter	NGO_0110
NC_002946.2	123841	124468	+	CDS	pseudogene	NGO_RS00560	response regulator	NGO_0110a
NC_002946.2	124550	125800	+	CDS	gene	NGO_RS00565	two-component sensor histidine kinase	NGO_0112
NC_002946.2	125835	127328	-	CDS	gene	rng	ribonuclease G	NGO_0113
NC_002946.2	127547	127804	+	CDS	gene	grxC	glutaredoxin 3	NGO_0114
NC_002946.2	127825	128268	+	CDS	gene	secB	protein-export chaperone SecB	NGO_0116
NC_002946.2	128357	130396	+	CDS	gene	recG	ATP-dependent DNA helicase RecG	NGO_0117
NC_002946.2	130990	132033	-	CDS	gene	NGO_RS00590	N-acetyl-gamma-glutamyl-phosphate reductase	NGO_0118
NC_002946.2	132030	132323	-	CDS	gene	NGO_RS00595	hypothetical protein	NGO_0119
NC_002946.2	132575	133729	+	CDS	gene	NGO_RS00600	cupin domain-containing protein	NGO_0121
NC_002946.2	133738	133965	+	CDS	gene	NGO_RS00605	hypothetical protein	NGO_00655
NC_002946.2	133958	134311	+	CDS	gene	NGO_RS00610	hypothetical protein	NGO_0122
NC_002946.2	134372	135646	+	CDS	gene	NGO_RS00615	HlyD family efflux transporter periplasmic adaptor subunit	NGO_0123
NC_002946.2	135831	136178	+	CDS	gene	NGO_RS00620	hypothetical protein	NGO_0124
NC_002946.2	136192	136407	+	CDS	gene	NGO_RS00625	hypothetical protein	NGO_0125
NC_002946.2	136509	137276	+	CDS	gene	NGO_RS00630	ATP-binding cassette domain-containing protein	NGO_0125a
NC_002946.2	137469	137750	+	CDS	gene	NGO_RS00635	ATP-binding cassette domain-containing protein	NGO_00685
NC_002946.2	137771	138997	-	CDS	gene	NGO_RS00640	YihY family inner membrane protein	NGO_0127
NC_002946.2	139096	139300	+	CDS	pseudogene	NGO_RS00645	NAD(P)H-quinone oxidoreductase	
NC_002946.2	139485	140159	+	CDS	gene	queC	7-cyano-7-deazaguanine synthase QueC	NGO_0129
NC_002946.2	140187	140702	+	CDS	gene	NGO_RS00655	DUF1543 domain-containing protein	NGO_0130
NC_002946.2	140790	141212	+	CDS	gene	queD	6-carboxytetrahydropterin synthase QueD	NGO_0131
NC_002946.2	141478	141850	+	CDS	pseudogene	NGO_RS00665	DUF1304 domain-containing protein	NGO_00715
NC_002946.2	141847	142485	+	CDS	gene	NGO_RS00670	7-carboxy-7-deazaguanine synthase QueE	NGO_0132
NC_002946.2	142821	142897	-	exon	tRNA	NGO_RS00675	tRNA-Pro	NGO_18796
NC_002946.2	142978	144063	-	CDS	gene	nagZ	beta-N-acetylhexosaminidase	NGO_0135
NC_002946.2	144120	145640	-	CDS	gene	NGO_RS00685	Na+/H+ antiporter NhaC family protein	NGO_0136
NC_002946.2	145843	147342	-	CDS	gene	NGO_RS00690	DegQ family serine endoprotease	NGO_0138
NC_002946.2	147480	148109	-	CDS	gene	nth	endonuclease III	NGO_0139
NC_002946.2	148156	148569	-	CDS	gene	NGO_RS00700	DedA family protein	NGO_0140
NC_002946.2	149005	150228	+	CDS	gene	NGO_RS00705	sugar MFS transporter	NGO_0142
NC_002946.2	150518	151897	+	CDS	gene	nhaC	Na+/H+ antiporter NhaC	NGO_0143
NC_002946.2	152040	152864	-	CDS	gene	NGO_RS00715	CBS domain-containing protein	NGO_0144
NC_002946.2	152866	153381	-	CDS	gene	ybeY	rRNA maturation RNase YbeY	NGO_0145
