locustag_in_Ngo	gene	gene_takenfrom	locustag_in_Nmen	locustag_in_FA1090	product_in_Ngo	product_in_Nmen	product_in_FA1090
NGFG_00137	dnaA	Nmen_FA1090_fromgene	NMB1903	NGO_0001	chromosomal replication initiator protein dnaA	chromosomal replication initiator protein DnaA	chromosomal replication initiator protein DnaA
NGFG_00138			NMB1902	NGO_0002	DNA polymerase III%2C beta subunit	DNA polymerase III subunit beta	DNA polymerase III subunit beta
NGFG_00139	ppk1	Nmen_FA1090_fromgene	NMB1900	NGO_0003	polyphosphate kinase	polyphosphate kinase 1	polyphosphate kinase 1
NGFG_00140			NMB1899	NGO_0004	hypothetical protein	hypothetical protein	hypothetical protein
NGFG_00141	bamE	Nmen_FA1090_fromproduct	NMB1898	NGO_00025		outer membrane protein assembly factor BamE	outer membrane protein assembly factor BamE
NGFG_00143			NMB1897	NGO_0006	leucyl-tRNA synthetase	leucine--tRNA ligase	leucine--tRNA ligase
NGFG_00144			NMB1896	NGO_0007		type II restriction endonuclease	restriction endonuclease
NGFG_00146				NGO_00040			site-specific DNA-methyltransferase
NGFG_00147				NGO_0009	hypothetical protein		hypothetical protein
NGFG_00149			NMB1891	NGO_0011	transcriptional regulator	DNA-binding transcriptional regulator	DNA-binding transcriptional regulator
NGFG_00150			NMB1890	NGO_00060		type II toxin-antitoxin system RelE/ParE family toxin	type II toxin-antitoxin system RelE/ParE family toxin
NGFG_06000			NMBt53	NGO_t01	tRNA-Leu	tRNA-Leu	tRNA-Leu
NGFG_00152	secG	Nmen_FA1090_fromgene	NMB1888	NGO_0016	preprotein translocase%2C SecG subunit	preprotein translocase subunit SecG	preprotein translocase subunit SecG
NGFG_00153			NMB1887	NGO_0017	triosephosphate isomerase	triose-phosphate isomerase	triose-phosphate isomerase
NGFG_00154			NMB1886	NGO_0018	GAF protein	GAF domain-containing protein	GAF domain-containing protein
NGFG_00155			NMB1885	NGO_0019	protein-L-isoaspartate O-methyltransferase	protein-L-isoaspartate O-methyltransferase	protein-L-isoaspartate O-methyltransferase
NGFG_00156			NMB1884	NGO_0020	thiosulfate sulfurtransferase	sulfurtransferase	sulfurtransferase
NGFG_00157			NMB1882	NGO_0021	TonB-dependent siderophore receptor	TonB-dependent siderophore receptor	TonB-dependent siderophore receptor
NGFG_00158			NMB1881	NGO_0022	hypothetical protein	cupin domain-containing protein	cupin domain-containing protein
