locustag_in_Ngo	GN_in_Ngo	type_in_Ngo	product_in_Ngo	locustag_in_Nmen	GN_in_Nmen	locustag_in_FA1090	GN_in_FA1090
NGFG_02259		gene	opacity protein	NMB1636		NGO_1073a	
NGFG_02260		gene	transposase			NGO_0072a	
NGFG_02265		gene	hypothetical protein	NMB1736		NGO_00200	
NGFG_02266		gene	transposase	NMB1411		NGO_0528	
NGFG_02269		gene	transposase	NMB1411		NGO_1211	
NGFG_02285		gene	phage protein			NGO_0466	
NGFG_02286		gene	phage protein			NGO_0467	
NGFG_02287		gene	phage protein			NGO_0468	
NGFG_02288		gene	phage protein			NGO_0469	
NGFG_02289		gene	phage protein			NGO_0470	
NGFG_00622		gene	phage protein			NGO_1622	
NGFG_00623		gene	phage protein			NGO_1123	
NGFG_00626		gene	phage protein			NGO_1120	
NGFG_02290		gene	phage protein			NGO_0480	
NGFG_02291		gene	phage protein			NGO_0481	
NGFG_02292		gene	phage protein			NGO_0483	
NGFG_02295		gene	DnaB family phage replicative helicase			NGO_0485	
NGFG_02296		gene	phage protein			NGO_0487	
NGFG_02297		gene	hypothetical protein			NGO_0488	
NGFG_02299		gene	phage protein			NGO_1640	
NGFG_01278		gene	phage protein			NGO_0519	
NGFG_02301		gene	transposase	NMB1411		NGO_0673	
NGFG_02307		gene	transposase	NMB1411		NGO_0528	
NGFG_02309		gene	transposase	NMB1411		NGO_0528	
NGFG_02313		gene	transposase	NMB1411		NGO_0528	
NGFG_02314		gene	hypothetical protein	NMB1736		NGO_00200	
NGFG_02316		gene	hypothetical protein			NGO_0773	
NGFG_02200		gene	hypothetical protein	NMB1752		NGO_04640	
NGFG_02328		gene	hypothetical protein	NMB1752		NGO_04640	
NGFG_02330		gene	opacity protein	NMB1465		NGO_1277a	
NGFG_02337		gene	opacity protein	NMB1636		NGO_1277a	
NGFG_02341		gene	hypothetical protein			NGO_1074	
NGFG_02217	mafA	gene	adhesin mafA	NMB2104	mafA	NGO_1067	mafA
NGFG_00672		gene	MafB family adhesin protein	NMB2105	mafB	NGO_1971	
NGFG_02350		gene	hypothetical protein			NGO_1074	
NGFG_02351		gene	opacity protein	NMB1636		NGO_1073a	
NGFG_02245		gene	hypothetical protein			NGO_0488	
NGFG_02357		gene	phage protein			NGO_0487	
NGFG_01309		gene	DnaB family phage replicative helicase			NGO_0485	
NGFG_02189		gene	phage protein			NGO_0483	
NGFG_02361		gene	phage protein			NGO_1120	
NGFG_02364		gene	phage protein			NGO_1123	
NGFG_02365		gene	phage protein			NGO_1622	
NGFG_02366		gene	phage protein			NGO_0470	
NGFG_02367		gene	phage protein			NGO_0469	
NGFG_02368		gene	phage protein			NGO_0468	
NGFG_02231		gene	phage protein			NGO_0466	
