locustag_in_Ngo	GN_in_Ngo	type_in_Ngo	product_in_Ngo	BlastHit	locustag_in_Nmen	GN_in_Nmen	type_in_Nmen	product_in_Nmen	locustag_in_FA1090	GN_in_FA1090	type_in_FA1090	product_in_FA1090
NGFG_00137	dnaA	gene	chromosomal replication initiator protein dnaA	"	Nmen	FA1090"	NMB1903	dnaA	gene	chromosomal replication initiator protein DnaA	NGO_0001	dnaA	gene	chromosomal replication initiator protein DnaA
NGFG_00138		gene	DNA polymerase III%2C beta subunit	"	Nmen	FA1090"	NMB1902		gene	DNA polymerase III subunit beta	NGO_0002		gene	DNA polymerase III subunit beta
NGFG_00139		gene	polyphosphate kinase	"	Nmen	FA1090"	NMB1900	ppk1	gene	polyphosphate kinase 1	NGO_0003	ppk1	gene	polyphosphate kinase 1
NGFG_00140		gene	hypothetical protein	"	Nmen	FA1090"	NMB1899		gene	hypothetical protein	NGO_0004		gene	hypothetical protein
NGFG_00141		pseudogene		"	Nmen	FA1090"	NMB1898	bamE	gene	outer membrane protein assembly factor BamE	NGO_00025	bamE	pseudogene	outer membrane protein assembly factor BamE
NGFG_00143		gene	leucyl-tRNA synthetase	"	Nmen	FA1090"	NMB1897		gene	leucine--tRNA ligase	NGO_0006		gene	leucine--tRNA ligase
NGFG_00144		pseudogene		"	Nmen	FA1090"	NMB1896		gene	type II restriction endonuclease	NGO_0007		gene	restriction endonuclease
NGFG_00146		pseudogene		"	FA1090"					NGO_0008		pseudogene	site-specific DNA-methyltransferase
NGFG_00147		gene	hypothetical protein	"	FA1090"					NGO_0009		pseudogene	hypothetical protein
NGFG_00149		gene	transcriptional regulator	"	Nmen	FA1090"	NMB1891		gene	DNA-binding transcriptional regulator	NGO_0011		gene	DNA-binding transcriptional regulator
NGFG_00150		pseudogene		"	Nmen	FA1090"	NMB1890		gene	type II toxin-antitoxin system RelE/ParE family toxin	NGO_00011b		pseudogene	type II toxin-antitoxin system RelE/ParE family toxin
NGFG_06000		tRNA	tRNA-Leu	""								
NGFG_00152		gene	preprotein translocase%2C SecG subunit	"	Nmen	FA1090"	NMB1888	secG	gene	preprotein translocase subunit SecG	NGO_0016	secG	gene	preprotein translocase subunit SecG
NGFG_00153		gene	triosephosphate isomerase	"	Nmen	FA1090"	NMB1887		gene	triose-phosphate isomerase	NGO_0017		gene	triose-phosphate isomerase
NGFG_00154		gene	GAF protein	"	Nmen	FA1090"	NMB1886		gene	GAF domain-containing protein	NGO_0018		gene	GAF domain-containing protein
