locustag_in_Ngo	name_in_Ngo	type_in_Ngo	product_in_Ngo	gene_in_Nmen	locustag_in_Nmen	type_in_Nmen	product_in_Nmen
NGFG_00137	NGFG_00137	gene	chromosomal replication initiator protein dnaA	dnaA	NMB1903	gene	chromosomal replication initiator protein DnaA
NGFG_00138	NGFG_00138	gene	DNA polymerase III%2C beta subunit		NMB1902	gene	DNA polymerase III subunit beta
NGFG_00139	NGFG_00139	gene	polyphosphate kinase	ppk1	NMB1900	gene	polyphosphate kinase 1
NGFG_00140	NGFG_00140	gene	hypothetical protein		NMB1899	gene	hypothetical protein
NGFG_00141	NGFG_00141	pseudogene			NMB1898	gene	outer membrane protein assembly factor BamE
NGFG_00143	NGFG_00143	gene	leucyl-tRNA synthetase		NMB1897	gene	leucine--tRNA ligase
NGFG_00144	NGFG_00144	pseudogene			NMB1896	gene	type II restriction endonuclease
NGFG_00146	NGFG_00146	pseudogene					
NGFG_00147	NGFG_00147	gene	hypothetical protein				
NGFG_00149	NGFG_00149	gene	transcriptional regulator		NMB1891	gene	DNA-binding transcriptional regulator
NGFG_00150	NGFG_00150	pseudogene			NMB1890	gene	type II toxin-antitoxin system RelE/ParE family toxin
NGFG_06000	NGFG_06000	tRNA	tRNA-Leu		NMBt53	tRNA	tRNA-Leu
NGFG_00152	NGFG_00152	gene	preprotein translocase%2C SecG subunit	secG	NMB1888	gene	preprotein translocase subunit SecG
NGFG_00153	NGFG_00153	gene	triosephosphate isomerase		NMB1887	gene	triose-phosphate isomerase
NGFG_00154	NGFG_00154	gene	GAF protein		NMB1886	gene	GAF domain-containing protein
NGFG_00155	NGFG_00155	gene	protein-L-isoaspartate O-methyltransferase		NMB1885	gene	protein-L-isoaspartate O-methyltransferase
NGFG_00156	NGFG_00156	gene	thiosulfate sulfurtransferase		NMB1884	gene	sulfurtransferase
NGFG_00157	NGFG_00157	gene	TonB-dependent siderophore receptor		NMB1882	gene	TonB-dependent siderophore receptor
NGFG_00158	NGFG_00158	gene	hypothetical protein		NMB1881	gene	cupin domain-containing protein
NGFG_00159	NGFG_00159	gene	iron chelate ABC transporter%2C periplasmic iron chelate-binding protein		NMB1880	gene	siderophore ABC transporter substrate-binding protein
NGFG_00160	NGFG_00160	gene	AraC family transcriptional regulator		NMB1878	pseudogene	helix-turn-helix transcriptional regulator
NGFG_00161	NGFG_00161	gene	prolyl oligopeptidase		NMB1877	gene	S9 family peptidase
NGFG_00162	NGFG_00162	gene	amino-acid acetyltransferase	argA	NMB1876	gene	amino-acid N-acetyltransferase
NGFG_00163	NGFG_00163	gene	hypothetical protein		NMB1875	gene	hypothetical protein
NGFG_00164	NGFG_00164	gene	orotate phosphoribosyltransferase	pyrE	NMB1874	gene	orotate phosphoribosyltransferase
NGFG_00165	NGFG_00165	gene	uracil-DNA glycosylase%2C family 4		NMB1873	gene	uracil-DNA glycosylase family protein
NGFG_00166	NGFG_00166	gene	ribosomal-protein-alanine acetyltransferase	rimI	NMB1872	gene	ribosomal protein S18-alanine N-acetyltransferase
NGFG_00167	NGFG_00167	gene	glycoprotease	tsaB	NMB1871	gene	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB
NGFG_00168	NGFG_00168	pseudogene			NMB1870	gene	factor H binding family protein
NGFG_00169	NGFG_00169	gene	fructose-bisphosphate aldolase		NMB1869	gene	fructose-bisphosphate aldolase class II
